QID SF SYS ITER TIME
39 1000 spark_time 1 8.704
39 1000 cmr_time 2 4.255
39 1000 spark_time 2 9.083
39 1000 cmr_time 3 4.664
39 1000 spark_time 3 8.306000000000001
39 1000 cmr_time 4 4.98
39 1000 spark_time 4 8.262
39 1000 cmr_ans_display_time 0 9.999999999999999e-05
39 1000 cmr_ans_display_time 1 4.6e-05
39 1000 cmr_ans_display_time 2 4.4e-05
39 1000 cmr_ans_display_time 3 4.4e-05
39 1000 cmr_ans_display_time 4 4.8e-05
40 1000 cmr_time 0 21.322
40 1000 spark_time 0 25.659
40 1000 cmr_time 1 8.419
40 1000 spark_time 1 19.916
40 1000 cmr_time 2 9.084
40 1000 spark_time 2 19.008
40 1000 cmr_time 3 8.258000000000001
40 1000 spark_time 3 19.96
40 1000 cmr_time 4 8.663
40 1000 spark_time 4 21.004
40 1000 cmr_ans_display_time 0 7.8e-05
40 1000 cmr_ans_display_time 1 1.3e-05
40 1000 cmr_ans_display_time 2 1.1e-05
40 1000 cmr_ans_display_time 3 1.4999999999999999e-05
40 1000 cmr_ans_display_time 4 1.4999999999999999e-05
41 1000 cmr_time 0 12.917
41 1000 spark_time 0 13.986
41 1000 cmr_time 1 7.696
41 1000 spark_time 1 9.037
41 1000 cmr_time 2 7.799
41 1000 spark_time 2 7.632000000000001
41 1000 cmr_time 3 7.197
41 1000 spark_time 3 7.679
41 1000 cmr_time 4 6.561
41 1000 spark_time 4 7.888
41 1000 cmr_ans_display_time 0 0.457459
41 1000 cmr_ans_display_time 1 0.504494
41 1000 cmr_ans_display_time 2 0.437455
41 1000 cmr_ans_display_time 3 0.476802
41 1000 cmr_ans_display_time 4 0.426377
42 1000 cmr_time 0 12.07
42 1000 spark_time 0 14.124
42 1000 cmr_time 1 8.107
42 1000 spark_time 1 8.858
42 1000 cmr_time 2 6.851
42 1000 spark_time 2 8.137
42 1000 cmr_time 3 6.396
42 1000 spark_time 3 7.597
42 1000 cmr_time 4 5.913
42 1000 spark_time 4 8.102
42 1000 cmr_ans_display_time 0 0.004474
42 1000 cmr_ans_display_time 1 0.009245999999999999
42 1000 cmr_ans_display_time 2 0.0046559999999999995
42 1000 cmr_ans_display_time 3 0.004304
42 1000 cmr_ans_display_time 4 0.004108
43 1000 cmr_time 0 12.42
43 1000 spark_time 0 10.494
43 1000 cmr_time 1 3.97
43 1000 spark_time 1 6.164
43 1000 cmr_time 2 4.0040000000000004
43 1000 spark_time 2 5.838
43 1000 cmr_time 3 4.198
43 1000 spark_time 3 5.665
43 1000 cmr_time 4 4.061
43 1000 spark_time 4 5.784
43 1000 cmr_ans_display_time 0 0.00023799999999999998
43 1000 cmr_ans_display_time 1 0.000159
43 1000 cmr_ans_display_time 2 0.000157
43 1000 cmr_ans_display_time 3 0.000294
43 1000 cmr_ans_display_time 4 0.000317
44 1000 cmr_time 0 6.978
44 1000 spark_time 0 5.281
44 1000 cmr_time 1 2.504
44 1000 spark_time 1 2.301
44 1000 cmr_time 2 1.088
44 1000 spark_time 2 2.154
44 1000 cmr_time 3 1.066
44 1000 spark_time 3 1.453
44 1000 cmr_time 4 0.724
44 1000 spark_time 4 1.491
44 1000 cmr_ans_display_time 0 0.000259
44 1000 cmr_ans_display_time 1 0.000175
44 1000 cmr_ans_display_time 2 0.000148
44 1000 cmr_ans_display_time 3 0.00019999999999999998
44 1000 cmr_ans_display_time 4 0.000179
45 1000 cmr_time 0 6.8870000000000005
45 1000 spark_time 0 4.0680000000000005
45 1000 cmr_time 1 1.2550000000000001
45 1000 spark_time 1 1.749
45 1000 cmr_time 2 1.045
45 1000 spark_time 2 1.448
45 1000 cmr_time 3 0.99
45 1000 spark_time 3 1.639
45 1000 cmr_time 4 0.9560000000000001
45 1000 spark_time 4 1.323
45 1000 cmr_ans_display_time 0 0.00011499999999999999
45 1000 cmr_ans_display_time 1 3.1e-05
45 1000 cmr_ans_display_time 2 3.1e-05
45 1000 cmr_ans_display_time 3 2.9e-05
45 1000 cmr_ans_display_time 4 3.1e-05
46 1000 cmr_time 0 8.325
46 1000 spark_time 0 5.6610000000000005
46 1000 cmr_time 1 2.024
46 1000 spark_time 1 2.882
46 1000 cmr_time 2 1.684
46 1000 spark_time 2 2.433
46 1000 cmr_time 3 1.601
46 1000 spark_time 3 2.239
46 1000 cmr_time 4 1.657
46 1000 spark_time 4 2.4170000000000003
46 1000 cmr_ans_display_time 0 0.000296
46 1000 cmr_ans_display_time 1 0.000312
46 1000 cmr_ans_display_time 2 0.00016999999999999999
46 1000 cmr_ans_display_time 3 0.00017099999999999998
46 1000 cmr_ans_display_time 4 0.000183
47 1000 cmr_time 0 17.131
47 1000 spark_time 0 12.518
